"Text Editing","Text Start","Shift+Alt+<","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Views","Show View (View: Javadoc)","Shift+Alt+Q J","In Windows"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editor Breadcrumb Navigation"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Edit","Undo","Ctrl+X U","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Help","Close User Assistance Tray","Ctrl+F4","In Dialogs"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Edit","Redo","Ctrl+X R","In Windows"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"Text Editing","Cut to End of Line","Ctrl+K","Editing Text"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Views","Show View (View: History)","Shift+Alt+Q Z","In Windows"
"File","Print","Ctrl+P","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Edit","Delete","Delete","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"File","Close","Ctrl+X K","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Edit","Select Previous Element","Shift+Alt+Left","Editing in Structured Text Editors"
"Text Editing","Previous Line","Ctrl+P","Editing Text"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Window","Activate Editor","F12","In Windows"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"File","Close All","Ctrl+X Ctrl+C","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"File","Save","Ctrl+X Ctrl+S","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"File","Refresh","F5","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Views","Show View (View: Synchronize)","Shift+Alt+Q Y","In Windows"
"Views","Show View (View: Variables)","Shift+Alt+Q V","In Windows"
"Edit","Paste","Ctrl+Y","In Dialogs and Windows"
"Navigate","Previous","Ctrl+,","In Windows"
"File","Close","Ctrl+W","In Windows"
"Views","Show View (View: Error Log)","Shift+Alt+Q L","In Windows"
"Edit","Content Assist","Alt+/","In Dialogs and Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"File","Save All","Shift+Ctrl+S","In Windows"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"File","Properties","Alt+Enter","In Windows"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Text Editing","Next Column","Ctrl+F","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"File","Rename","F2","In Windows"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Task","Open Selected Task","Ctrl+Enter","In Tasks View"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Navigate","Open External Javadoc","Shift+F2","In Windows"
"Edit","Toggle Block Selection","Shift+Alt+A","Editing Text"
"Window","Show System Menu","Alt+-","In Windows"
"Source","Format","Esc Ctrl+F","Editing Ant Buildfiles"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Run/Debug","Step Over","F6","Debugging"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Views","Show View (View: Search)","Shift+Alt+Q S","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"File","Print","Esc F9","In Windows"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing Java Source"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Text Editing","Previous Word","Alt+B","In Windows"
"Views","Show View (View: Breakpoints)","Shift+Alt+Q B","In Windows"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Refactor - Java","Show Refactor Quick Menu","Shift+Alt+T","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Text Editing","Text Start","Esc Shift+<","Editing Text"
"Text Editing","Join Lines","Ctrl+Alt+J","Editing Text"
"Text Editing","End Line","Ctrl+E","Editing Text"
"Text Editing","Next Word","Alt+F","In Windows"
"File","Print","Alt+F9","In Windows"
"Text Editing","Recenter","Ctrl+L","Editing Text"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Text Editing","Next Line","Ctrl+N","Editing Text"
"Spy","Plug-in Spy","Shift+Alt+F2","In Dialogs and Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Task","Mark Task Incomplete","Shift+Alt+I","In Tasks View"
"Edit","Find Next","Ctrl+K","Editing Text"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Task","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Text Editing","Delete to End of Line","Ctrl+K","Editing Text"
"Edit","Copy","Alt+W","In Dialogs and Windows"
"Window","Previous Editor","Shift+Ctrl+F6","In Windows"
"Text Editing","Text End","Ctrl+X ]","Editing Text"
"Views","Show View (View: Package Explorer)","Shift+Alt+Q P","In Windows"
"Text Editing","Insert Line Above Current Line","Shift+Ctrl+Enter","Editing Text"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Edit","Matching Tag","Shift+Ctrl+>","Editing in Structured Text Editors"
"Text Editing","Page Up","Esc V","Editing Text"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Task","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Project","Build All","Ctrl+B","In Windows"
"Navigate","Backward History","Alt+Left","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Source","Rename In File","Shift+Alt+R","Editing Ant Buildfiles"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Source","Toggle Comment","Esc Ctrl+C","Editing Java Source"
"Edit","Find and Replace","Esc R","In Windows"
"Views","Show View (View: Outline)","Shift+Alt+Q O","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Navigate","Next Page","Alt+F7","In Windows"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"File","New menu","Shift+Alt+N","In Windows"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing Java Source"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Text Editing","Delete Previous Word","Esc Backspace","Editing Text"
"Text Editing","Delete Next Word","Alt+D","Editing Text"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Edit","Undo","F9","In Windows"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Edit","Copy","Esc W","In Dialogs and Windows"
"Edit","Cut","Ctrl+W","In Dialogs and Windows"
"Navigate","Open Declaration","F3","In Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"Focused UI","Make Landmark","Shift+Ctrl+Alt+Up","In Windows"
"Task Editor","Maximize Part","Shift+Ctrl+M","In Tasks Editor"
"Source","Toggle Comment","Ctrl+7","Editing Properties Files"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
